refill sound,finger grip,refill longitude,Tilt X,Tilt Y,Tilt Z
3.01599098330242,6.27982080389928,5.78133830308756,5.6096,3.71371,3.99194
3.00968712749633,6.27340634075664,5.78108586785913,5.6096,3.71371,3.99194
2.9960102377003,6.27004396931771,5.78054382618936,5.6096,3.71371,3.99194
3.00037839624084,6.26830928788071,5.78034865459662,5.6206,3.71371,3.99304
3.00424850497123,6.26424601002708,5.77987876535813,5.6206,3.71371,3.99304
3.01779323032684,6.26252381255864,5.77989749688272,5.6206,3.71371,3.99304
2.99867933787706,6.25996961428742,5.77955011710317,5.6085,3.71701,3.99853
2.99959732245691,6.25854488347265,5.77922276404743,5.6085,3.71701,3.99853
3.00081721729654,6.25727232648046,5.77897434852038,5.6085,3.71701,3.99853
2.98499692989187,6.25597599261332,5.77920839871584,5.6085,3.72141,3.99963
3.00014073239686,6.2522309168709,5.77922451636602,5.60081,3.72141,3.99963
3.01980153897181,6.25377224444112,5.77912100092594,5.60081,3.72141,3.99963
3.00616525584602,6.25200269834851,5.77897876949704,5.60081,3.72141,3.99523
3.01296595792422,6.24971043106896,5.77929435901309,5.60301,3.71371,3.99523
2.99397883728222,6.24999556684431,5.77950051660895,5.60301,3.71371,3.99523
2.99385677867938,6.24854847708324,5.77968476894298,5.60301,3.71371,3.98644
3.01196825874782,6.24774718256325,5.78001293480513,5.59971,3.69721,3.98644
3.00877262854676,6.24724104154348,5.78024318498684,5.59971,3.69721,3.98644
2.99525294030043,6.24676648859802,5.78061868388829,5.59971,3.69721,3.97984
2.99786160897117,6.24637076254923,5.78072297846771,5.60301,3.68842,3.97984
3.00291115971997,6.24841895377473,5.7813523029517,5.60301,3.68842,3.97984
2.99611532530216,6.24608189849933,5.78174421907092,5.60301,3.68842,3.97984
3.0066762346405,6.24751571032429,5.78193933441268,5.59421,3.68402,3.98974
3.00348463165436,6.24911687969217,5.78179970660921,5.59421,3.68402,3.98974
3.01845381095681,6.24911705524401,5.78207642626007,5.59421,3.68402,3.98974
2.99514537366541,6.25024594855941,5.78223656062938,5.59421,3.68292,4.01503
3.00284612745979,6.25063055844932,5.7823819730753,5.58541,3.68292,4.01503
3.00008367564812,6.2507246869619,5.78229754277106,5.58541,3.68292,4.01503
3.01663653016306,6.25132037175951,5.78209125520396,5.58541,3.68402,4.03372
2.99600324041195,6.25118429207372,5.78203366618349,5.58101,3.68402,4.03372
2.98913682898689,6.24841060685281,5.78185206736445,5.58101,3.68402,4.03372
2.99803794785901,6.24961520639497,5.78159461866928,5.58101,3.68402,4.04912
3.01695185122502,6.24745511124938,5.78129174099235,5.56342,3.67962,4.04912
2.99919250358765,6.2439615881149,5.78085915595511,5.56342,3.67962,4.04912
3.00026591606642,6.24305219562413,5.78018392200754,5.56342,3.67962,4.05462
3.00653837715536,6.24005445173553,5.7797967097702,5.54472,3.67522,4.05462
3.0023424365159,6.23667597551138,5.77928765762115,5.54472,3.67522,4.05462
3.01214290431439,6.23366966870191,5.77928257754325,5.54472,3.67522,4.05462
2.99705989195579,6.23014913503059,5.77883610996205,5.55682,3.66642,4.04252
3.01360280324123,6.22721733900755,5.77835362858564,5.55682,3.66642,4.04252
3.00009777091516,6.2260697655662,5.77804566817941,5.55682,3.66642,4.04252
2.98425280702824,6.22113210003163,5.77806643469081,5.55682,3.66862,4.02603
2.99325026531277,6.21870327922965,5.77802935397591,5.58651,3.66862,4.02603
3.01497633202255,6.21704511486568,5.77786586461902,5.58651,3.66862,4.02603
3.00755552855801,6.21330501601912,5.77799241647004,5.58651,3.67082,4.01943
3.01426965731899,6.21160304471431,5.77808369802766,5.59861,3.67082,4.01943
2.99698806693805,6.2088742273305,5.77841115043226,5.59861,3.67082,4.01943
3.00064887943347,6.20665229905747,5.77866288845919,5.59861,3.67082,4.02273
3.00191521816455,6.20433171608529,5.77930895791379,5.58211,3.66092,4.02273
3.00836820700907,6.20218128690001,5.779665942052,5.58211,3.66092,4.02273
3.00127651148807,6.19786401435515,5.78032202880051,5.58211,3.66092,4.01833
2.99486924988295,6.19752795948338,5.7805332322256,5.56122,3.65872,4.01833
3.00405320901512,6.19451477070701,5.78126250949981,5.56122,3.65872,4.01833
2.99307733598813,6.19005159049019,5.78187088058433,5.56122,3.65872,4.01833
3.00566686084757,6.18902427054109,5.78208070347017,5.55242,3.66532,4.00623
3.01490165235157,6.18563187557736,5.78230130844925,5.55242,3.66532,4.00623
3.01808793870755,6.18358191555849,5.78269101521704,5.55242,3.66532,4.00623
2.98838869046924,6.18117722088506,5.78288196980605,5.55242,3.67192,3.99633
2.9988492225994,6.17911935149413,5.78313227527026,5.56672,3.67192,3.99633
2.9999194747692,6.17741141768897,5.78329504978642,5.56672,3.67192,3.99633
3.01070704755158,6.17795473709772,5.78317996037569,5.56672,3.67522,3.98974
3.00087143939847,6.1760421608311,5.78315146261875,5.57331,3.67522,3.98974
2.99194621752934,6.17667007191226,5.78273776086105,5.57331,3.67522,3.98974
3.00667196347984,6.17877866432372,5.78276856530176,5.57331,3.67522,3.98864
3.00710523520845,6.17844250476089,5.78245472093239,5.57991,3.67742,3.98864
3.00665726969095,6.18119786914146,5.78214523677382,5.57991,3.67742,3.98864
3.00350102330138,6.18320169261454,5.78148251601756,5.57991,3.67742,3.98864
3.00353948501256,6.18590567700212,5.78097876019784,5.58101,3.68292,3.98864
3.00069314460703,6.18855774142618,5.78051533659619,5.58101,3.68292,3.98864
3.00678851003207,6.19145307135603,5.78038886123906,5.58101,3.68292,3.98864
2.98989215635487,6.19231790868147,5.77978465498998,5.57111,3.69172,3.99853
3.0107503807962,6.19657002431529,5.77936161226816,5.57111,3.69172,3.99853
3.00328907483845,6.19852496225792,5.77889481637544,5.57111,3.69172,3.99853
2.99267564292304,6.19943155531749,5.77855241616299,5.56891,3.69062,4.02053
3.00745987229533,6.20263558059973,5.77836235128085,5.56891,3.69062,4.02053
3.00514605855791,6.20349168635652,5.7779814252121,5.56891,3.69062,4.02053
3.01089789562287,6.20499477100352,5.77793986949504,5.56891,3.67962,4.03152
3.01276650094383,6.20610460649821,5.77777980309703,5.56122,3.67962,4.03152
2.99504678716875,6.20690089312214,5.77766486154489,5.56122,3.67962,4.03152
2.99087998708605,6.20722233592271,5.77769728225699,5.56122,3.67962,4.03262
2.99699218584042,6.20921741581264,5.77823545304474,5.55242,3.66972,4.03262
3.0044065329073,6.20834457598511,5.77830288034516,5.55242,3.66972,4.03262
3.01702861304079,6.20937353054751,5.7786097323217,5.55242,3.66972,4.02053
2.99596787465184,6.21092304185393,5.77871143649668,5.55242,3.66972,4.02053
3.01063535609397,6.20994932296223,5.77913828823261,5.55242,3.66972,4.02053
2.9920308713995,6.2104982395827,5.77974331474867,5.55242,3.66972,4.02053
3.00083441202227,6.21053957445244,5.77991538138831,5.55682,3.66862,4.00183
3.01588388056121,6.21030929726408,5.78031017410899,5.55682,3.66862,4.00183
3.0099033602433,6.21050574345529,5.78056348394624,5.55682,3.66862,4.00183
2.98780030643023,6.21028569308776,5.78103301084974,5.55572,3.66312,3.99523
3.00351346476106,6.20781767263803,5.7813451167837,5.55572,3.66312,3.99523
2.99940493752101,6.2082812880037,5.78155783326546,5.55572,3.66312,3.99523
3.00224389396353,6.20731796721863,5.78182179139365,5.55572,3.65762,3.99633
3.00865090552407,6.20495471026139,5.78203150815149,5.55242,3.65762,3.99633
2.99967145159595,6.20542489813589,5.78176867285676,5.55242,3.65762,3.99633
3.0079096963474,6.20404201694712,5.78187724956223,5.55242,3.65762,4.00843
3.00335761610544,6.20343946860806,5.78182663284679,5.54692,3.65652,4.00843
2.99954226191826,6.20329079068347,5.78175976036789,5.54692,3.65652,4.00843
3.00535891651916,6.20357288380207,5.78150508902638,5.54692,3.65652,4.02053
3.01002486270278,6.20467021226071,5.78119130580199,5.53482,3.64993,4.02053
2.99371099874079,6.20743368467,5.7810281721796,5.53482,3.64993,4.02053
3.00171545612333,6.20895868011992,5.78105551059442,5.53482,3.64993,4.02053
2.99451776818705,6.21239950557213,5.78075132565952,5.54362,3.64993,4.00843
3.01085932577742,6.21733671678202,5.78044643660965,5.54362,3.64993,4.00843
3.01127936213301,6.22139073406647,5.78023030414558,5.54362,3.64993,4.00843
2.99212936325301,6.22750255054085,5.77972233569386,5.55902,3.65433,3.98974
3.00467469408004,6.23331295028517,5.77986378141978,5.55902,3.65433,3.98974
3.00178534342141,6.23957907925204,5.7795655389045,5.55902,3.65433,3.98974
3.01511402845639,6.24647802454132,5.77981313343156,5.55902,3.65543,3.98314
3.00121143484563,6.25307656885119,5.77973827341995,5.57771,3.65543,3.98314
2.99874899115162,6.25826962307006,5.77972751184871,5.57771,3.65543,3.98314
3.00540327019611,6.26576330364599,5.77985087825821,5.57771,3.66422,3.98094
2.99090151734025,6.27145562410883,5.7804284130676,5.57661,3.66422,3.98094
2.99603537749474,6.27546186510042,5.78064624579317,5.57661,3.66422,3.98094
3.01303899198733,6.28091690581997,5.78097339736065,5.57661,3.66422,3.97874
3.00494189604817,6.28434364283216,5.78120979132908,5.56452,3.67742,3.97874
3.01266854873915,6.28755260571602,5.78168276409084,5.56452,3.67742,3.97874
2.99141730872832,6.28957528051892,5.78215986939125,5.56452,3.67742,3.97874
3.00532085405771,6.29065003961976,5.78242883946335,5.54472,3.68622,3.98094
3.01272385102978,6.2907566313743,5.78290329926797,5.54472,3.68622,3.98094
3.00463958706735,6.29173849884872,5.78312977330384,5.54472,3.68622,3.98094
